pid, time, age, native-country, fnlwgt, occupation, education-num, marital-status, capital-gain, education, capital-loss, hours-per-week, workclass, relationship, race, sex, income
58, 58, 42,United-States,116632,Prof-specialty,16,Married-civ-spouse,0,Doctorate,0,45,Private,Husband,White,Male,>50K
59, 59, 29,United-States,105598,Tech-support,10,Divorced,0,Some-college,0,58,Private,Not-in-family,White,Male,<=50K
60, 60, 36,United-States,155537,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
61, 61, 28,United-States,183175,Adm-clerical,10,Divorced,0,Some-college,0,40,Private,Not-in-family,White,Female,<=50K
62, 62, 53,United-States,169846,Adm-clerical,9,Married-civ-spouse,0,HS-grad,0,40,Private,Wife,White,Female,>50K
63, 63, 49,United-States,191681,Exec-managerial,10,Married-civ-spouse,0,Some-college,0,50,Self-emp-inc,Husband,White,Male,>50K
64, 64, 19,United-States,101509,Prof-specialty,10,Never-married,0,Some-college,0,32,Private,Own-child,White,Male,<=50K
65, 65, 31,United-States,309974,Sales,13,Separated,0,Bachelors,0,40,Private,Own-child,Black,Female,<=50K
66, 66, 29,United-States,162298,Sales,13,Married-civ-spouse,0,Bachelors,0,70,Self-emp-not-inc,Husband,White,Male,>50K
67, 67, 23,United-States,211678,Machine-op-inspct,10,Never-married,0,Some-college,0,40,Private,Not-in-family,White,Male,<=50K
68, 68, 79,United-States,124744,Prof-specialty,10,Married-civ-spouse,0,Some-college,0,20,Private,Other-relative,White,Male,<=50K
69, 69, 27,Mexico,213921,Other-service,9,Never-married,0,HS-grad,0,40,Private,Own-child,White,Male,<=50K
70, 70, 40,United-States,32214,Adm-clerical,12,Married-civ-spouse,0,Assoc-acdm,0,40,Private,Husband,White,Male,<=50K
71, 71, 18,United-States,309634,Other-service,7,Never-married,0,11th,0,22,Private,Own-child,White,Female,<=50K
72, 72, 31,United-States,125927,Farming-fishing,4,Married-civ-spouse,0,7th-8th,0,40,Local-gov,Husband,White,Male,<=50K
73, 73, 18,United-States,446839,Sales,9,Never-married,0,HS-grad,0,30,Private,Not-in-family,White,Male,<=50K
74, 74, 52,Cuba,276515,Other-service,13,Married-civ-spouse,0,Bachelors,0,40,Private,Husband,White,Male,<=50K
75, 75, 46,United-States,51618,Other-service,9,Married-civ-spouse,0,HS-grad,0,40,Private,Wife,White,Female,<=50K
76, 76, 59,United-States,159937,Sales,9,Married-civ-spouse,0,HS-grad,0,48,Private,Husband,White,Male,<=50K
77, 77, 44,United-States,343591,Craft-repair,9,Divorced,14344,HS-grad,0,40,Private,Not-in-family,White,Female,>50K
78, 78, 53,United-States,346253,Sales,9,Divorced,0,HS-grad,0,35,Private,Own-child,White,Female,<=50K
79, 79, 49,United-States,268234,Protective-serv,9,Married-civ-spouse,0,HS-grad,0,40,Local-gov,Husband,White,Male,>50K
80, 80, 33,United-States,202051,Prof-specialty,14,Married-civ-spouse,0,Masters,0,50,Private,Husband,White,Male,<=50K
81, 81, 30,United-States,54334,Sales,5,Never-married,0,9th,0,40,Private,Not-in-family,White,Male,<=50K
82, 82, 43,United-States,410867,Prof-specialty,16,Never-married,0,Doctorate,0,50,Federal-gov,Not-in-family,White,Female,>50K
83, 83, 57,United-States,249977,Prof-specialty,11,Married-civ-spouse,0,Assoc-voc,0,40,Private,Husband,White,Male,<=50K
84, 84, 37,United-States,286730,Craft-repair,10,Divorced,0,Some-college,0,40,Private,Unmarried,White,Female,<=50K
85, 85, 28,United-States,212563,Machine-op-inspct,10,Divorced,0,Some-college,0,25,Private,Unmarried,Black,Female,<=50K
86, 86, 34,United-States,226296,Protective-serv,13,Married-civ-spouse,0,Bachelors,0,40,Local-gov,Husband,White,Male,>50K
87, 87, 29,United-States,115585,Handlers-cleaners,10,Never-married,0,Some-college,0,50,Local-gov,Not-in-family,White,Male,<=50K
88, 88, 48,United-States,191277,Prof-specialty,16,Married-civ-spouse,0,Doctorate,1902,60,Self-emp-not-inc,Husband,White,Male,>50K
89, 89, 37,United-States,202683,Sales,10,Married-civ-spouse,0,Some-college,0,48,Private,Husband,White,Male,>50K
90, 90, 48,England,171095,Exec-managerial,12,Divorced,0,Assoc-acdm,0,40,Private,Unmarried,White,Female,<=50K
91, 91, 32,United-States,249409,Other-service,9,Never-married,0,HS-grad,0,40,Federal-gov,Own-child,Black,Male,<=50K
92, 92, 76,United-States,124191,Exec-managerial,14,Married-civ-spouse,0,Masters,0,40,Private,Husband,White,Male,>50K
93, 93, 44,United-States,198282,Exec-managerial,13,Married-civ-spouse,15024,Bachelors,0,60,Private,Husband,White,Male,>50K
94, 94, 47,United-States,149116,Prof-specialty,14,Never-married,0,Masters,0,50,Self-emp-not-inc,Not-in-family,White,Female,<=50K
95, 95, 20,United-States,188300,Tech-support,10,Never-married,0,Some-college,0,40,Private,Own-child,White,Female,<=50K
96, 96, 29,United-States,103432,Craft-repair,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,White,Male,<=50K
97, 97, 32,United-States,317660,Craft-repair,9,Married-civ-spouse,7688,HS-grad,0,40,Self-emp-inc,Husband,White,Male,>50K
98, 98, 30,United-States,194901,Handlers-cleaners,7,Never-married,0,11th,0,40,Private,Own-child,White,Male,<=50K
99, 99, 31,United-States,189265,Adm-clerical,9,Never-married,0,HS-grad,0,40,Local-gov,Not-in-family,White,Female,<=50K
100, 100, 42,United-States,124692,Handlers-cleaners,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,<=50K
101, 101, 24,United-States,432376,Sales,13,Never-married,0,Bachelors,0,40,Private,Other-relative,White,Male,<=50K
102, 102, 38,United-States,65324,Prof-specialty,15,Married-civ-spouse,0,Prof-school,0,40,Private,Husband,White,Male,>50K
103, 103, 56,Canada,335605,Other-service,9,Married-civ-spouse,0,HS-grad,1887,50,Self-emp-not-inc,Husband,White,Male,>50K
104, 104, 28,United-States,377869,Sales,10,Married-civ-spouse,4064,Some-college,0,25,Private,Wife,White,Female,<=50K
105, 105, 36,United-States,102864,Machine-op-inspct,9,Never-married,0,HS-grad,0,40,Private,Own-child,White,Female,<=50K
106, 106, 53,United-States,95647,Handlers-cleaners,5,Married-civ-spouse,0,9th,0,50,Private,Husband,White,Male,<=50K
107, 107, 56,United-States,303090,Sales,10,Married-civ-spouse,0,Some-college,0,50,Self-emp-inc,Husband,White,Male,<=50K
108, 108, 49,United-States,197371,Craft-repair,11,Married-civ-spouse,0,Assoc-voc,0,40,Local-gov,Husband,Black,Male,>50K
109, 109, 55,United-States,247552,Sales,10,Married-civ-spouse,0,Some-college,0,56,Private,Husband,White,Male,<=50K
110, 110, 22,United-States,102632,Craft-repair,9,Never-married,0,HS-grad,0,41,Private,Not-in-family,White,Male,<=50K
111, 111, 21,United-States,199915,Other-service,10,Never-married,0,Some-college,0,40,Private,Own-child,White,Female,<=50K
112, 112, 40,United-States,118853,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,60,Private,Husband,White,Male,<=50K
113, 113, 30,Germany,77143,Exec-managerial,13,Never-married,0,Bachelors,0,40,Private,Own-child,Black,Male,<=50K
114, 114, 29,United-States,267989,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,50,State-gov,Husband,White,Male,>50K
115, 115, 19,United-States,301606,Other-service,10,Never-married,0,Some-college,0,35,Private,Own-child,Black,Male,<=50K
116, 116, 47,United-States,287828,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,40,Private,Wife,White,Female,>50K
117, 117, 20,United-States,111697,Adm-clerical,10,Never-married,0,Some-college,1719,28,Private,Own-child,White,Female,<=50K
118, 118, 31,United-States,114937,Adm-clerical,12,Married-civ-spouse,0,Assoc-acdm,0,40,Private,Husband,White,Male,>50K
119, 119, 39,United-States,365739,Craft-repair,10,Divorced,0,Some-college,0,40,Private,Not-in-family,White,Male,<=50K
120, 120, 28,United-States,69621,Sales,12,Never-married,0,Assoc-acdm,0,60,Private,Not-in-family,White,Female,<=50K
121, 121, 24,United-States,43323,Other-service,9,Never-married,0,HS-grad,1762,40,Private,Not-in-family,White,Female,<=50K
122, 122, 38,United-States,120985,Craft-repair,9,Married-civ-spouse,4386,HS-grad,0,35,Self-emp-not-inc,Husband,White,Male,<=50K
123, 123, 37,United-States,254202,Sales,13,Married-civ-spouse,0,Bachelors,0,50,Private,Husband,White,Male,<=50K
124, 124, 46,United-States,146195,Tech-support,12,Divorced,0,Assoc-acdm,0,36,Private,Not-in-family,Black,Female,<=50K
125, 125, 38,Iran,125933,Prof-specialty,14,Married-civ-spouse,0,Masters,0,40,Federal-gov,Husband,White,Male,>50K
126, 126, 43,United-States,56920,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,60,Self-emp-not-inc,Husband,White,Male,<=50K
127, 127, 27,United-States,163127,Adm-clerical,11,Married-civ-spouse,0,Assoc-voc,0,35,Private,Wife,White,Female,<=50K
128, 128, 20,United-States,34310,Sales,10,Never-married,0,Some-college,0,20,Private,Own-child,White,Male,<=50K
129, 129, 49,United-States,81973,Craft-repair,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,Asian-Pac-Islander,Male,>50K
130, 130, 61,United-States,66614,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,40,Self-emp-inc,Husband,White,Male,<=50K
131, 131, 27,United-States,232782,Sales,10,Never-married,0,Some-college,0,40,Private,Own-child,White,Female,<=50K
132, 132, 19,Mexico,316868,Other-service,10,Never-married,0,Some-college,0,30,Private,Own-child,White,Male,<=50K
133, 133, 45,United-States,196584,Prof-specialty,11,Never-married,0,Assoc-voc,1564,40,Private,Not-in-family,White,Female,>50K
134, 134, 70,United-States,105376,Tech-support,10,Never-married,0,Some-college,0,40,Private,Other-relative,White,Male,<=50K
135, 135, 31,United-States,185814,Transport-moving,9,Never-married,0,HS-grad,0,30,Private,Unmarried,Black,Female,<=50K
136, 136, 22,United-States,175374,Other-service,10,Married-civ-spouse,0,Some-college,0,24,Private,Husband,White,Male,<=50K
137, 137, 36,United-States,108293,Other-service,9,Widowed,0,HS-grad,0,24,Private,Unmarried,White,Female,<=50K
138, 138, 64,United-States,181232,Craft-repair,7,Married-civ-spouse,0,11th,2179,40,Private,Husband,White,Male,<=50K
139, 139, 47,Mexico,186009,Adm-clerical,10,Divorced,0,Some-college,0,38,Local-gov,Unmarried,White,Female,<=50K
140, 140, 34,United-States,198183,Adm-clerical,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,White,Female,<=50K
141, 141, 33,Philippines,163003,Exec-managerial,13,Never-married,0,Bachelors,0,40,Private,Other-relative,Asian-Pac-Islander,Female,<=50K
142, 142, 21,United-States,296158,Craft-repair,9,Never-married,0,HS-grad,0,35,Private,Own-child,White,Male,<=50K
143, 143, 48,United-States,187715,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,46,Private,Husband,White,Male,<=50K
144, 144, 23,United-States,214542,Handlers-cleaners,13,Never-married,0,Bachelors,0,40,Private,Not-in-family,White,Male,<=50K
145, 145, 71,United-States,494223,Sales,10,Separated,0,Some-college,1816,2,Self-emp-not-inc,Unmarried,Black,Male,<=50K
146, 146, 29,United-States,191535,Craft-repair,9,Divorced,0,HS-grad,0,60,Private,Not-in-family,White,Male,<=50K
147, 147, 42,United-States,228456,Other-service,13,Separated,0,Bachelors,0,50,Private,Other-relative,Black,Male,<=50K
148, 148, 25,United-States,252752,Other-service,9,Never-married,0,HS-grad,0,40,Private,Unmarried,White,Female,<=50K
149, 149, 44,United-States,78374,Exec-managerial,14,Divorced,0,Masters,0,40,Self-emp-inc,Unmarried,Asian-Pac-Islander,Female,<=50K
150, 150, 28,England,88419,Exec-managerial,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,Asian-Pac-Islander,Female,<=50K
151, 151, 45,United-States,201080,Sales,14,Married-civ-spouse,0,Masters,0,40,Self-emp-not-inc,Husband,White,Male,>50K
152, 152, 36,Mexico,207157,Other-service,10,Divorced,0,Some-college,0,40,Private,Unmarried,White,Female,<=50K
153, 153, 39,United-States,235485,Exec-managerial,12,Never-married,0,Assoc-acdm,0,42,Federal-gov,Not-in-family,White,Male,<=50K
154, 154, 46,United-States,102628,Protective-serv,14,Widowed,0,Masters,0,40,State-gov,Unmarried,White,Male,<=50K
155, 155, 18,United-States,25828,Handlers-cleaners,7,Never-married,0,11th,0,16,Private,Own-child,White,Male,<=50K
156, 156, 66,United-States,54826,Prof-specialty,11,Widowed,0,Assoc-voc,0,20,Local-gov,Not-in-family,White,Female,<=50K
157, 157, 27,United-States,124953,Other-service,9,Never-married,0,HS-grad,1980,40,Private,Not-in-family,White,Male,<=50K
158, 158, 28,United-States,175325,Protective-serv,9,Married-civ-spouse,0,HS-grad,0,40,State-gov,Husband,White,Male,<=50K
159, 159, 51,United-States,96062,Sales,10,Married-civ-spouse,0,Some-college,1977,40,Private,Husband,White,Male,>50K
160, 160, 27,United-States,428030,Craft-repair,13,Never-married,0,Bachelors,0,50,Private,Not-in-family,White,Male,<=50K
161, 161, 28,United-States,149624,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,40,State-gov,Husband,White,Male,>50K
162, 162, 27,United-States,253814,Sales,9,Married-spouse-absent,0,HS-grad,0,25,Private,Unmarried,White,Female,<=50K
163, 163, 21,United-States,312956,Craft-repair,9,Never-married,0,HS-grad,0,40,Private,Own-child,Black,Male,<=50K
164, 164, 34,United-States,483777,Handlers-cleaners,9,Never-married,0,HS-grad,0,40,Private,Not-in-family,Black,Male,<=50K
165, 165, 18,United-States,183930,Other-service,9,Never-married,0,HS-grad,0,12,Private,Own-child,White,Male,<=50K
166, 166, 33,United-States,37274,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,65,Private,Husband,White,Male,<=50K
167, 167, 44,United-States,181344,Exec-managerial,10,Married-civ-spouse,0,Some-college,0,38,Local-gov,Husband,Black,Male,>50K
168, 168, 43,United-States,114580,Adm-clerical,10,Divorced,0,Some-college,0,40,Private,Not-in-family,White,Female,<=50K
169, 169, 30,United-States,633742,Craft-repair,10,Never-married,0,Some-college,0,45,Private,Not-in-family,Black,Male,<=50K
170, 170, 40,Mexico,286370,Machine-op-inspct,4,Married-civ-spouse,0,7th-8th,0,40,Private,Husband,White,Male,>50K
171, 171, 37,United-States,29054,Adm-clerical,10,Married-civ-spouse,0,Some-college,0,42,Federal-gov,Husband,White,Male,>50K
172, 172, 34,United-States,304030,Adm-clerical,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,Black,Male,<=50K
173, 173, 41,United-States,143129,Exec-managerial,13,Divorced,0,Bachelors,0,40,Self-emp-not-inc,Not-in-family,White,Female,<=50K
174, 174, 31,United-States,99928,Prof-specialty,14,Married-civ-spouse,0,Masters,0,50,Private,Wife,White,Female,<=50K
175, 175, 58,United-States,109567,Prof-specialty,16,Married-civ-spouse,0,Doctorate,0,1,State-gov,Husband,White,Male,>50K
176, 176, 38,United-States,155222,Machine-op-inspct,10,Divorced,0,Some-college,0,28,Private,Not-in-family,Black,Female,<=50K
177, 177, 24,United-States,159567,Machine-op-inspct,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,<=50K
178, 178, 41,United-States,523910,Craft-repair,13,Married-civ-spouse,0,Bachelors,0,40,Local-gov,Husband,Black,Male,<=50K
179, 179, 47,United-States,120939,Tech-support,10,Married-civ-spouse,0,Some-college,0,45,Private,Husband,White,Male,<=50K
180, 180, 41,United-States,130760,Tech-support,13,Married-civ-spouse,0,Bachelors,0,24,Federal-gov,Husband,White,Male,<=50K
181, 181, 23,Mexico,197387,Transport-moving,3,Married-civ-spouse,0,5th-6th,0,40,Private,Other-relative,White,Male,<=50K
182, 182, 36,United-States,99374,Craft-repair,10,Divorced,0,Some-college,0,40,Private,Not-in-family,White,Male,<=50K
183, 183, 40,United-States,56795,Exec-managerial,14,Never-married,14084,Masters,0,55,Federal-gov,Not-in-family,White,Female,>50K
184, 184, 35,United-States,138992,Prof-specialty,14,Married-civ-spouse,7298,Masters,0,40,Private,Other-relative,White,Male,>50K
185, 185, 24,United-States,32921,Sales,9,Never-married,0,HS-grad,0,40,Self-emp-not-inc,Not-in-family,White,Male,<=50K
186, 186, 26,United-States,397317,Prof-specialty,14,Never-married,0,Masters,1876,40,Private,Not-in-family,White,Female,<=50K
187, 187, 51,United-States,259323,Exec-managerial,13,Married-civ-spouse,0,Bachelors,0,50,Private,Husband,White,Male,>50K
188, 188, 42,United-States,254817,Prof-specialty,10,Never-married,0,Some-college,1340,40,Local-gov,Not-in-family,White,Female,<=50K
189, 189, 37,United-States,48211,Adm-clerical,9,Divorced,0,HS-grad,0,35,State-gov,Unmarried,White,Female,<=50K
190, 190, 18,United-States,140164,Sales,7,Never-married,0,11th,0,40,Private,Own-child,White,Female,<=50K
191, 191, 36,United-States,128757,Other-service,13,Married-civ-spouse,7298,Bachelors,0,36,Private,Husband,Black,Male,>50K
192, 192, 35,United-States,36270,Craft-repair,9,Divorced,0,HS-grad,0,60,Private,Not-in-family,White,Male,<=50K
193, 193, 58,United-States,210563,Sales,9,Married-civ-spouse,15024,HS-grad,0,35,Self-emp-inc,Wife,White,Female,>50K
194, 194, 17,United-States,65368,Sales,7,Never-married,0,11th,0,12,Private,Own-child,White,Female,<=50K
195, 195, 44,United-States,160943,Transport-moving,9,Married-civ-spouse,0,HS-grad,0,40,Local-gov,Husband,Black,Male,<=50K
196, 196, 37,United-States,208358,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,White,Male,>50K
197, 197, 35,United-States,153790,Sales,10,Never-married,0,Some-college,0,40,Private,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
198, 198, 60,United-States,85815,Craft-repair,9,Married-civ-spouse,0,HS-grad,0,40,Private,Husband,Asian-Pac-Islander,Male,<=50K
199, 199, 54,United-States,125417,Machine-op-inspct,4,Married-civ-spouse,0,7th-8th,0,40,Self-emp-inc,Husband,White,Male,>50K
200, 200, 37,United-States,635913,Exec-managerial,13,Never-married,0,Bachelors,0,60,Private,Not-in-family,Black,Male,>50K
201, 201, 50,United-States,313321,Sales,12,Divorced,0,Assoc-acdm,0,40,Private,Not-in-family,White,Female,<=50K
202, 202, 38,Poland,182609,Sales,13,Married-civ-spouse,0,Bachelors,0,50,Private,Husband,White,Male,<=50K
203, 203, 45,United-States,109434,Prof-specialty,13,Married-civ-spouse,0,Bachelors,0,55,Private,Husband,White,Male,<=50K
204, 204, 25,United-States,255004,Craft-repair,6,Never-married,0,10th,0,40,Private,Not-in-family,White,Male,<=50K
205, 205, 31,United-States,197860,Handlers-cleaners,10,Married-civ-spouse,0,Some-college,0,40,Private,Husband,White,Male,<=50K
206, 206, 90,United-States,51744,Other-service,9,Never-married,0,HS-grad,2206,40,Private,Not-in-family,Black,Male,<=50K
207, 207, 54,United-States,176681,Adm-clerical,9,Married-civ-spouse,0,HS-grad,0,20,Private,Husband,Black,Male,<=50K
208, 208, 53,United-States,140359,Machine-op-inspct,1,Never-married,0,Preschool,0,35,Local-gov,Not-in-family,White,Female,<=50K
209, 209, 18,United-States,243313,Sales,9,Never-married,0,HS-grad,0,40,Private,Own-child,White,Female,<=50K
210, 210, 66,United-States,167687,Farming-fishing,9,Married-civ-spouse,1409,HS-grad,0,50,Self-emp-not-inc,Husband,White,Male,<=50K
211, 211, 75,Columbia,314209,Adm-clerical,11,Widowed,0,Assoc-voc,0,20,Private,Not-in-family,White,Female,<=50K
212, 212, 65,United-States,176796,Adm-clerical,9,Divorced,0,HS-grad,0,40,Private,Not-in-family,White,Female,<=50K
213, 213, 35,United-States,538583,Transport-moving,7,Separated,3674,11th,0,40,Private,Not-in-family,Black,Male,<=50K
214, 214, 41,United-States,130408,Sales,9,Divorced,0,HS-grad,0,38,Private,Unmarried,Black,Female,<=50K
215, 215, 25,United-States,159732,Adm-clerical,10,Never-married,0,Some-college,0,42,Private,Not-in-family,White,Male,<=50K
216, 216, 33,United-States,110978,Craft-repair,10,Divorced,0,Some-college,0,40,Private,Other-relative,Other,Female,<=50K
217, 217, 28,United-States,76714,Prof-specialty,15,Never-married,0,Prof-school,0,55,Private,Not-in-family,White,Male,>50K
218, 218, 59,United-States,268700,Other-service,9,Married-civ-spouse,0,HS-grad,0,40,State-gov,Husband,White,Male,<=50K
