pid, time, education-num, age, hours-per-week, capital-loss, capital-gain, fnlwgt, sex, race, relationship, marital-status, workclass, occupation, education, native-country, income
105, 105,9, 36,40,0,0,102864,Female,White,Own-child,Never-married,Private,Machine-op-inspct,HS-grad,United-States,<=50K
106, 106,5, 53,50,0,0,95647,Male,White,Husband,Married-civ-spouse,Private,Handlers-cleaners,9th,United-States,<=50K
107, 107,10, 56,50,0,0,303090,Male,White,Husband,Married-civ-spouse,Self-emp-inc,Sales,Some-college,United-States,<=50K
108, 108,11, 49,40,0,0,197371,Male,Black,Husband,Married-civ-spouse,Local-gov,Craft-repair,Assoc-voc,United-States,>50K
109, 109,10, 55,56,0,0,247552,Male,White,Husband,Married-civ-spouse,Private,Sales,Some-college,United-States,<=50K
110, 110,9, 22,41,0,0,102632,Male,White,Not-in-family,Never-married,Private,Craft-repair,HS-grad,United-States,<=50K
111, 111,10, 21,40,0,0,199915,Female,White,Own-child,Never-married,Private,Other-service,Some-college,United-States,<=50K
112, 112,13, 40,60,0,0,118853,Male,White,Husband,Married-civ-spouse,Private,Exec-managerial,Bachelors,United-States,<=50K
113, 113,13, 30,40,0,0,77143,Male,Black,Own-child,Never-married,Private,Exec-managerial,Bachelors,Germany,<=50K
114, 114,13, 29,50,0,0,267989,Male,White,Husband,Married-civ-spouse,State-gov,Prof-specialty,Bachelors,United-States,>50K
115, 115,10, 19,35,0,0,301606,Male,Black,Own-child,Never-married,Private,Other-service,Some-college,United-States,<=50K
116, 116,13, 47,40,0,0,287828,Female,White,Wife,Married-civ-spouse,Private,Exec-managerial,Bachelors,United-States,>50K
117, 117,10, 20,28,1719,0,111697,Female,White,Own-child,Never-married,Private,Adm-clerical,Some-college,United-States,<=50K
118, 118,12, 31,40,0,0,114937,Male,White,Husband,Married-civ-spouse,Private,Adm-clerical,Assoc-acdm,United-States,>50K
119, 119,10, 39,40,0,0,365739,Male,White,Not-in-family,Divorced,Private,Craft-repair,Some-college,United-States,<=50K
120, 120,12, 28,60,0,0,69621,Female,White,Not-in-family,Never-married,Private,Sales,Assoc-acdm,United-States,<=50K
121, 121,9, 24,40,1762,0,43323,Female,White,Not-in-family,Never-married,Private,Other-service,HS-grad,United-States,<=50K
122, 122,9, 38,35,0,4386,120985,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Craft-repair,HS-grad,United-States,<=50K
123, 123,13, 37,50,0,0,254202,Male,White,Husband,Married-civ-spouse,Private,Sales,Bachelors,United-States,<=50K
124, 124,12, 46,36,0,0,146195,Female,Black,Not-in-family,Divorced,Private,Tech-support,Assoc-acdm,United-States,<=50K
125, 125,14, 38,40,0,0,125933,Male,White,Husband,Married-civ-spouse,Federal-gov,Prof-specialty,Masters,Iran,>50K
126, 126,9, 43,60,0,0,56920,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Craft-repair,HS-grad,United-States,<=50K
127, 127,11, 27,35,0,0,163127,Female,White,Wife,Married-civ-spouse,Private,Adm-clerical,Assoc-voc,United-States,<=50K
128, 128,10, 20,20,0,0,34310,Male,White,Own-child,Never-married,Private,Sales,Some-college,United-States,<=50K
129, 129,10, 49,40,0,0,81973,Male,Asian-Pac-Islander,Husband,Married-civ-spouse,Private,Craft-repair,Some-college,United-States,>50K
130, 130,9, 61,40,0,0,66614,Male,White,Husband,Married-civ-spouse,Self-emp-inc,Craft-repair,HS-grad,United-States,<=50K
131, 131,10, 27,40,0,0,232782,Female,White,Own-child,Never-married,Private,Sales,Some-college,United-States,<=50K
132, 132,10, 19,30,0,0,316868,Male,White,Own-child,Never-married,Private,Other-service,Some-college,Mexico,<=50K
133, 133,11, 45,40,1564,0,196584,Female,White,Not-in-family,Never-married,Private,Prof-specialty,Assoc-voc,United-States,>50K
134, 134,10, 70,40,0,0,105376,Male,White,Other-relative,Never-married,Private,Tech-support,Some-college,United-States,<=50K
135, 135,9, 31,30,0,0,185814,Female,Black,Unmarried,Never-married,Private,Transport-moving,HS-grad,United-States,<=50K
136, 136,10, 22,24,0,0,175374,Male,White,Husband,Married-civ-spouse,Private,Other-service,Some-college,United-States,<=50K
137, 137,9, 36,24,0,0,108293,Female,White,Unmarried,Widowed,Private,Other-service,HS-grad,United-States,<=50K
138, 138,7, 64,40,2179,0,181232,Male,White,Husband,Married-civ-spouse,Private,Craft-repair,11th,United-States,<=50K
139, 139,10, 47,38,0,0,186009,Female,White,Unmarried,Divorced,Local-gov,Adm-clerical,Some-college,Mexico,<=50K
140, 140,9, 34,40,0,0,198183,Female,White,Not-in-family,Never-married,Private,Adm-clerical,HS-grad,United-States,<=50K
141, 141,13, 33,40,0,0,163003,Female,Asian-Pac-Islander,Other-relative,Never-married,Private,Exec-managerial,Bachelors,Philippines,<=50K
142, 142,9, 21,35,0,0,296158,Male,White,Own-child,Never-married,Private,Craft-repair,HS-grad,United-States,<=50K
143, 143,9, 48,46,0,0,187715,Male,White,Husband,Married-civ-spouse,Private,Craft-repair,HS-grad,United-States,<=50K
144, 144,13, 23,40,0,0,214542,Male,White,Not-in-family,Never-married,Private,Handlers-cleaners,Bachelors,United-States,<=50K
145, 145,10, 71,2,1816,0,494223,Male,Black,Unmarried,Separated,Self-emp-not-inc,Sales,Some-college,United-States,<=50K
146, 146,9, 29,60,0,0,191535,Male,White,Not-in-family,Divorced,Private,Craft-repair,HS-grad,United-States,<=50K
147, 147,13, 42,50,0,0,228456,Male,Black,Other-relative,Separated,Private,Other-service,Bachelors,United-States,<=50K
148, 148,9, 25,40,0,0,252752,Female,White,Unmarried,Never-married,Private,Other-service,HS-grad,United-States,<=50K
149, 149,14, 44,40,0,0,78374,Female,Asian-Pac-Islander,Unmarried,Divorced,Self-emp-inc,Exec-managerial,Masters,United-States,<=50K
150, 150,9, 28,40,0,0,88419,Female,Asian-Pac-Islander,Not-in-family,Never-married,Private,Exec-managerial,HS-grad,England,<=50K
151, 151,14, 45,40,0,0,201080,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Sales,Masters,United-States,>50K
152, 152,10, 36,40,0,0,207157,Female,White,Unmarried,Divorced,Private,Other-service,Some-college,Mexico,<=50K
153, 153,12, 39,42,0,0,235485,Male,White,Not-in-family,Never-married,Federal-gov,Exec-managerial,Assoc-acdm,United-States,<=50K
154, 154,14, 46,40,0,0,102628,Male,White,Unmarried,Widowed,State-gov,Protective-serv,Masters,United-States,<=50K
155, 155,7, 18,16,0,0,25828,Male,White,Own-child,Never-married,Private,Handlers-cleaners,11th,United-States,<=50K
156, 156,11, 66,20,0,0,54826,Female,White,Not-in-family,Widowed,Local-gov,Prof-specialty,Assoc-voc,United-States,<=50K
157, 157,9, 27,40,1980,0,124953,Male,White,Not-in-family,Never-married,Private,Other-service,HS-grad,United-States,<=50K
158, 158,9, 28,40,0,0,175325,Male,White,Husband,Married-civ-spouse,State-gov,Protective-serv,HS-grad,United-States,<=50K
159, 159,10, 51,40,1977,0,96062,Male,White,Husband,Married-civ-spouse,Private,Sales,Some-college,United-States,>50K
160, 160,13, 27,50,0,0,428030,Male,White,Not-in-family,Never-married,Private,Craft-repair,Bachelors,United-States,<=50K
161, 161,13, 28,40,0,0,149624,Male,White,Husband,Married-civ-spouse,State-gov,Prof-specialty,Bachelors,United-States,>50K
162, 162,9, 27,25,0,0,253814,Female,White,Unmarried,Married-spouse-absent,Private,Sales,HS-grad,United-States,<=50K
163, 163,9, 21,40,0,0,312956,Male,Black,Own-child,Never-married,Private,Craft-repair,HS-grad,United-States,<=50K
164, 164,9, 34,40,0,0,483777,Male,Black,Not-in-family,Never-married,Private,Handlers-cleaners,HS-grad,United-States,<=50K
165, 165,9, 18,12,0,0,183930,Male,White,Own-child,Never-married,Private,Other-service,HS-grad,United-States,<=50K
166, 166,13, 33,65,0,0,37274,Male,White,Husband,Married-civ-spouse,Private,Prof-specialty,Bachelors,United-States,<=50K
167, 167,10, 44,38,0,0,181344,Male,Black,Husband,Married-civ-spouse,Local-gov,Exec-managerial,Some-college,United-States,>50K
168, 168,10, 43,40,0,0,114580,Female,White,Not-in-family,Divorced,Private,Adm-clerical,Some-college,United-States,<=50K
169, 169,10, 30,45,0,0,633742,Male,Black,Not-in-family,Never-married,Private,Craft-repair,Some-college,United-States,<=50K
170, 170,4, 40,40,0,0,286370,Male,White,Husband,Married-civ-spouse,Private,Machine-op-inspct,7th-8th,Mexico,>50K
171, 171,10, 37,42,0,0,29054,Male,White,Husband,Married-civ-spouse,Federal-gov,Adm-clerical,Some-college,United-States,>50K
172, 172,9, 34,40,0,0,304030,Male,Black,Husband,Married-civ-spouse,Private,Adm-clerical,HS-grad,United-States,<=50K
173, 173,13, 41,40,0,0,143129,Female,White,Not-in-family,Divorced,Self-emp-not-inc,Exec-managerial,Bachelors,United-States,<=50K
174, 174,14, 31,50,0,0,99928,Female,White,Wife,Married-civ-spouse,Private,Prof-specialty,Masters,United-States,<=50K
175, 175,16, 58,1,0,0,109567,Male,White,Husband,Married-civ-spouse,State-gov,Prof-specialty,Doctorate,United-States,>50K
176, 176,10, 38,28,0,0,155222,Female,Black,Not-in-family,Divorced,Private,Machine-op-inspct,Some-college,United-States,<=50K
177, 177,10, 24,40,0,0,159567,Male,White,Husband,Married-civ-spouse,Private,Machine-op-inspct,Some-college,United-States,<=50K
178, 178,13, 41,40,0,0,523910,Male,Black,Husband,Married-civ-spouse,Local-gov,Craft-repair,Bachelors,United-States,<=50K
179, 179,10, 47,45,0,0,120939,Male,White,Husband,Married-civ-spouse,Private,Tech-support,Some-college,United-States,<=50K
180, 180,13, 41,24,0,0,130760,Male,White,Husband,Married-civ-spouse,Federal-gov,Tech-support,Bachelors,United-States,<=50K
181, 181,3, 23,40,0,0,197387,Male,White,Other-relative,Married-civ-spouse,Private,Transport-moving,5th-6th,Mexico,<=50K
182, 182,10, 36,40,0,0,99374,Male,White,Not-in-family,Divorced,Private,Craft-repair,Some-college,United-States,<=50K
183, 183,14, 40,55,0,14084,56795,Female,White,Not-in-family,Never-married,Federal-gov,Exec-managerial,Masters,United-States,>50K
184, 184,14, 35,40,0,7298,138992,Male,White,Other-relative,Married-civ-spouse,Private,Prof-specialty,Masters,United-States,>50K
185, 185,9, 24,40,0,0,32921,Male,White,Not-in-family,Never-married,Self-emp-not-inc,Sales,HS-grad,United-States,<=50K
186, 186,14, 26,40,1876,0,397317,Female,White,Not-in-family,Never-married,Private,Prof-specialty,Masters,United-States,<=50K
187, 187,13, 51,50,0,0,259323,Male,White,Husband,Married-civ-spouse,Private,Exec-managerial,Bachelors,United-States,>50K
188, 188,10, 42,40,1340,0,254817,Female,White,Not-in-family,Never-married,Local-gov,Prof-specialty,Some-college,United-States,<=50K
189, 189,9, 37,35,0,0,48211,Female,White,Unmarried,Divorced,State-gov,Adm-clerical,HS-grad,United-States,<=50K
190, 190,7, 18,40,0,0,140164,Female,White,Own-child,Never-married,Private,Sales,11th,United-States,<=50K
191, 191,13, 36,36,0,7298,128757,Male,Black,Husband,Married-civ-spouse,Private,Other-service,Bachelors,United-States,>50K
192, 192,9, 35,60,0,0,36270,Male,White,Not-in-family,Divorced,Private,Craft-repair,HS-grad,United-States,<=50K
193, 193,9, 58,35,0,15024,210563,Female,White,Wife,Married-civ-spouse,Self-emp-inc,Sales,HS-grad,United-States,>50K
194, 194,7, 17,12,0,0,65368,Female,White,Own-child,Never-married,Private,Sales,11th,United-States,<=50K
195, 195,9, 44,40,0,0,160943,Male,Black,Husband,Married-civ-spouse,Local-gov,Transport-moving,HS-grad,United-States,<=50K
196, 196,9, 37,40,0,0,208358,Male,White,Husband,Married-civ-spouse,Private,Craft-repair,HS-grad,United-States,>50K
197, 197,10, 35,40,0,0,153790,Female,Amer-Indian-Eskimo,Not-in-family,Never-married,Private,Sales,Some-college,United-States,<=50K
198, 198,9, 60,40,0,0,85815,Male,Asian-Pac-Islander,Husband,Married-civ-spouse,Private,Craft-repair,HS-grad,United-States,<=50K
199, 199,4, 54,40,0,0,125417,Male,White,Husband,Married-civ-spouse,Self-emp-inc,Machine-op-inspct,7th-8th,United-States,>50K
200, 200,13, 37,60,0,0,635913,Male,Black,Not-in-family,Never-married,Private,Exec-managerial,Bachelors,United-States,>50K
201, 201,12, 50,40,0,0,313321,Female,White,Not-in-family,Divorced,Private,Sales,Assoc-acdm,United-States,<=50K
202, 202,13, 38,50,0,0,182609,Male,White,Husband,Married-civ-spouse,Private,Sales,Bachelors,Poland,<=50K
203, 203,13, 45,55,0,0,109434,Male,White,Husband,Married-civ-spouse,Private,Prof-specialty,Bachelors,United-States,<=50K
204, 204,6, 25,40,0,0,255004,Male,White,Not-in-family,Never-married,Private,Craft-repair,10th,United-States,<=50K
205, 205,10, 31,40,0,0,197860,Male,White,Husband,Married-civ-spouse,Private,Handlers-cleaners,Some-college,United-States,<=50K
206, 206,9, 90,40,2206,0,51744,Male,Black,Not-in-family,Never-married,Private,Other-service,HS-grad,United-States,<=50K
207, 207,9, 54,20,0,0,176681,Male,Black,Husband,Married-civ-spouse,Private,Adm-clerical,HS-grad,United-States,<=50K
208, 208,1, 53,35,0,0,140359,Female,White,Not-in-family,Never-married,Local-gov,Machine-op-inspct,Preschool,United-States,<=50K
209, 209,9, 18,40,0,0,243313,Female,White,Own-child,Never-married,Private,Sales,HS-grad,United-States,<=50K
210, 210,9, 66,50,0,1409,167687,Male,White,Husband,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,HS-grad,United-States,<=50K
211, 211,11, 75,20,0,0,314209,Female,White,Not-in-family,Widowed,Private,Adm-clerical,Assoc-voc,Columbia,<=50K
212, 212,9, 65,40,0,0,176796,Female,White,Not-in-family,Divorced,Private,Adm-clerical,HS-grad,United-States,<=50K
213, 213,7, 35,40,0,3674,538583,Male,Black,Not-in-family,Separated,Private,Transport-moving,11th,United-States,<=50K
214, 214,9, 41,38,0,0,130408,Female,Black,Unmarried,Divorced,Private,Sales,HS-grad,United-States,<=50K
215, 215,10, 25,42,0,0,159732,Male,White,Not-in-family,Never-married,Private,Adm-clerical,Some-college,United-States,<=50K
216, 216,10, 33,40,0,0,110978,Female,Other,Other-relative,Divorced,Private,Craft-repair,Some-college,United-States,<=50K
217, 217,15, 28,55,0,0,76714,Male,White,Not-in-family,Never-married,Private,Prof-specialty,Prof-school,United-States,>50K
218, 218,9, 59,40,0,0,268700,Male,White,Husband,Married-civ-spouse,State-gov,Other-service,HS-grad,United-States,<=50K
