pid, time, native-country, occupation, marital-status, education, hours-per-week, capital-loss, capital-gain, education-num, fnlwgt, age, workclass, relationship, race, sex, income
37, 37,United-States,Machine-op-inspct,Married-civ-spouse,9th,43,0,0,5,507875, 31,Private,Husband,White,Male,<=50K
38, 38,United-States,Prof-specialty,Married-civ-spouse,Bachelors,40,0,0,13,88506, 53,Self-emp-not-inc,Husband,White,Male,<=50K
39, 39,United-States,Tech-support,Married-civ-spouse,Bachelors,50,0,0,13,172987, 24,Private,Husband,White,Male,<=50K
40, 40,United-States,Adm-clerical,Separated,HS-grad,40,0,0,9,94638, 49,Private,Unmarried,White,Female,<=50K
41, 41,United-States,Handlers-cleaners,Never-married,HS-grad,35,0,0,9,289980, 25,Private,Not-in-family,White,Male,<=50K
42, 42,United-States,Prof-specialty,Married-civ-spouse,Bachelors,40,0,0,13,337895, 57,Federal-gov,Husband,Black,Male,>50K
43, 43,United-States,Machine-op-inspct,Married-civ-spouse,HS-grad,38,0,0,9,144361, 53,Private,Husband,White,Male,<=50K
44, 44,United-States,Exec-managerial,Divorced,Masters,40,0,0,14,128354, 44,Private,Unmarried,White,Female,<=50K
45, 45,United-States,Craft-repair,Married-civ-spouse,Assoc-voc,40,0,0,11,101603, 41,State-gov,Husband,White,Male,<=50K
46, 46,United-States,Prof-specialty,Never-married,Assoc-voc,43,0,0,11,271466, 29,Private,Not-in-family,White,Male,<=50K
47, 47,United-States,Exec-managerial,Married-civ-spouse,Some-college,40,0,0,10,32275, 25,Private,Wife,Other,Female,<=50K
48, 48,Honduras,Prof-specialty,Married-civ-spouse,Prof-school,60,1902,0,15,51835, 47,Private,Wife,White,Female,>50K
49, 49,United-States,Exec-managerial,Divorced,Bachelors,55,0,0,13,251585, 50,Federal-gov,Not-in-family,White,Male,>50K
50, 50,United-States,Exec-managerial,Divorced,HS-grad,60,0,0,9,109832, 47,Self-emp-inc,Not-in-family,White,Male,<=50K
51, 51,United-States,Tech-support,Married-civ-spouse,Some-college,40,0,0,10,237993, 43,Private,Husband,White,Male,>50K
52, 52,Mexico,Machine-op-inspct,Married-civ-spouse,5th-6th,40,0,0,3,216666, 46,Private,Husband,White,Male,<=50K
53, 53,Puerto-Rico,Other-service,Married-civ-spouse,Assoc-voc,40,0,0,11,56352, 35,Private,Husband,White,Male,<=50K
54, 54,United-States,Adm-clerical,Married-civ-spouse,HS-grad,48,0,0,9,147372, 41,Private,Husband,White,Male,<=50K
55, 55,United-States,Machine-op-inspct,Married-civ-spouse,HS-grad,40,0,5013,9,188146, 30,Private,Husband,White,Male,<=50K
56, 56,United-States,Sales,Married-civ-spouse,Bachelors,40,0,2407,13,59496, 30,Private,Husband,White,Male,<=50K
57, 57,United-States,Transport-moving,Married-civ-spouse,HS-grad,40,0,0,9,149640, 48,Private,Husband,White,Male,<=50K
58, 58,United-States,Prof-specialty,Married-civ-spouse,Doctorate,45,0,0,16,116632, 42,Private,Husband,White,Male,>50K
59, 59,United-States,Tech-support,Divorced,Some-college,58,0,0,10,105598, 29,Private,Not-in-family,White,Male,<=50K
60, 60,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,155537, 36,Private,Husband,White,Male,<=50K
61, 61,United-States,Adm-clerical,Divorced,Some-college,40,0,0,10,183175, 28,Private,Not-in-family,White,Female,<=50K
62, 62,United-States,Adm-clerical,Married-civ-spouse,HS-grad,40,0,0,9,169846, 53,Private,Wife,White,Female,>50K
63, 63,United-States,Exec-managerial,Married-civ-spouse,Some-college,50,0,0,10,191681, 49,Self-emp-inc,Husband,White,Male,>50K
64, 64,United-States,Prof-specialty,Never-married,Some-college,32,0,0,10,101509, 19,Private,Own-child,White,Male,<=50K
65, 65,United-States,Sales,Separated,Bachelors,40,0,0,13,309974, 31,Private,Own-child,Black,Female,<=50K
66, 66,United-States,Sales,Married-civ-spouse,Bachelors,70,0,0,13,162298, 29,Self-emp-not-inc,Husband,White,Male,>50K
67, 67,United-States,Machine-op-inspct,Never-married,Some-college,40,0,0,10,211678, 23,Private,Not-in-family,White,Male,<=50K
68, 68,United-States,Prof-specialty,Married-civ-spouse,Some-college,20,0,0,10,124744, 79,Private,Other-relative,White,Male,<=50K
69, 69,Mexico,Other-service,Never-married,HS-grad,40,0,0,9,213921, 27,Private,Own-child,White,Male,<=50K
70, 70,United-States,Adm-clerical,Married-civ-spouse,Assoc-acdm,40,0,0,12,32214, 40,Private,Husband,White,Male,<=50K
71, 71,United-States,Other-service,Never-married,11th,22,0,0,7,309634, 18,Private,Own-child,White,Female,<=50K
72, 72,United-States,Farming-fishing,Married-civ-spouse,7th-8th,40,0,0,4,125927, 31,Local-gov,Husband,White,Male,<=50K
73, 73,United-States,Sales,Never-married,HS-grad,30,0,0,9,446839, 18,Private,Not-in-family,White,Male,<=50K
74, 74,Cuba,Other-service,Married-civ-spouse,Bachelors,40,0,0,13,276515, 52,Private,Husband,White,Male,<=50K
75, 75,United-States,Other-service,Married-civ-spouse,HS-grad,40,0,0,9,51618, 46,Private,Wife,White,Female,<=50K
76, 76,United-States,Sales,Married-civ-spouse,HS-grad,48,0,0,9,159937, 59,Private,Husband,White,Male,<=50K
77, 77,United-States,Craft-repair,Divorced,HS-grad,40,0,14344,9,343591, 44,Private,Not-in-family,White,Female,>50K
78, 78,United-States,Sales,Divorced,HS-grad,35,0,0,9,346253, 53,Private,Own-child,White,Female,<=50K
79, 79,United-States,Protective-serv,Married-civ-spouse,HS-grad,40,0,0,9,268234, 49,Local-gov,Husband,White,Male,>50K
80, 80,United-States,Prof-specialty,Married-civ-spouse,Masters,50,0,0,14,202051, 33,Private,Husband,White,Male,<=50K
81, 81,United-States,Sales,Never-married,9th,40,0,0,5,54334, 30,Private,Not-in-family,White,Male,<=50K
82, 82,United-States,Prof-specialty,Never-married,Doctorate,50,0,0,16,410867, 43,Federal-gov,Not-in-family,White,Female,>50K
83, 83,United-States,Prof-specialty,Married-civ-spouse,Assoc-voc,40,0,0,11,249977, 57,Private,Husband,White,Male,<=50K
84, 84,United-States,Craft-repair,Divorced,Some-college,40,0,0,10,286730, 37,Private,Unmarried,White,Female,<=50K
85, 85,United-States,Machine-op-inspct,Divorced,Some-college,25,0,0,10,212563, 28,Private,Unmarried,Black,Female,<=50K
86, 86,United-States,Protective-serv,Married-civ-spouse,Bachelors,40,0,0,13,226296, 34,Local-gov,Husband,White,Male,>50K
87, 87,United-States,Handlers-cleaners,Never-married,Some-college,50,0,0,10,115585, 29,Local-gov,Not-in-family,White,Male,<=50K
88, 88,United-States,Prof-specialty,Married-civ-spouse,Doctorate,60,1902,0,16,191277, 48,Self-emp-not-inc,Husband,White,Male,>50K
89, 89,United-States,Sales,Married-civ-spouse,Some-college,48,0,0,10,202683, 37,Private,Husband,White,Male,>50K
90, 90,England,Exec-managerial,Divorced,Assoc-acdm,40,0,0,12,171095, 48,Private,Unmarried,White,Female,<=50K
91, 91,United-States,Other-service,Never-married,HS-grad,40,0,0,9,249409, 32,Federal-gov,Own-child,Black,Male,<=50K
92, 92,United-States,Exec-managerial,Married-civ-spouse,Masters,40,0,0,14,124191, 76,Private,Husband,White,Male,>50K
93, 93,United-States,Exec-managerial,Married-civ-spouse,Bachelors,60,0,15024,13,198282, 44,Private,Husband,White,Male,>50K
94, 94,United-States,Prof-specialty,Never-married,Masters,50,0,0,14,149116, 47,Self-emp-not-inc,Not-in-family,White,Female,<=50K
95, 95,United-States,Tech-support,Never-married,Some-college,40,0,0,10,188300, 20,Private,Own-child,White,Female,<=50K
96, 96,United-States,Craft-repair,Never-married,HS-grad,40,0,0,9,103432, 29,Private,Not-in-family,White,Male,<=50K
97, 97,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,7688,9,317660, 32,Self-emp-inc,Husband,White,Male,>50K
98, 98,United-States,Handlers-cleaners,Never-married,11th,40,0,0,7,194901, 30,Private,Own-child,White,Male,<=50K
99, 99,United-States,Adm-clerical,Never-married,HS-grad,40,0,0,9,189265, 31,Local-gov,Not-in-family,White,Female,<=50K
100, 100,United-States,Handlers-cleaners,Married-civ-spouse,HS-grad,40,0,0,9,124692, 42,Private,Husband,White,Male,<=50K
101, 101,United-States,Sales,Never-married,Bachelors,40,0,0,13,432376, 24,Private,Other-relative,White,Male,<=50K
102, 102,United-States,Prof-specialty,Married-civ-spouse,Prof-school,40,0,0,15,65324, 38,Private,Husband,White,Male,>50K
103, 103,Canada,Other-service,Married-civ-spouse,HS-grad,50,1887,0,9,335605, 56,Self-emp-not-inc,Husband,White,Male,>50K
104, 104,United-States,Sales,Married-civ-spouse,Some-college,25,0,4064,10,377869, 28,Private,Wife,White,Female,<=50K
105, 105,United-States,Machine-op-inspct,Never-married,HS-grad,40,0,0,9,102864, 36,Private,Own-child,White,Female,<=50K
106, 106,United-States,Handlers-cleaners,Married-civ-spouse,9th,50,0,0,5,95647, 53,Private,Husband,White,Male,<=50K
107, 107,United-States,Sales,Married-civ-spouse,Some-college,50,0,0,10,303090, 56,Self-emp-inc,Husband,White,Male,<=50K
108, 108,United-States,Craft-repair,Married-civ-spouse,Assoc-voc,40,0,0,11,197371, 49,Local-gov,Husband,Black,Male,>50K
109, 109,United-States,Sales,Married-civ-spouse,Some-college,56,0,0,10,247552, 55,Private,Husband,White,Male,<=50K
110, 110,United-States,Craft-repair,Never-married,HS-grad,41,0,0,9,102632, 22,Private,Not-in-family,White,Male,<=50K
111, 111,United-States,Other-service,Never-married,Some-college,40,0,0,10,199915, 21,Private,Own-child,White,Female,<=50K
112, 112,United-States,Exec-managerial,Married-civ-spouse,Bachelors,60,0,0,13,118853, 40,Private,Husband,White,Male,<=50K
113, 113,Germany,Exec-managerial,Never-married,Bachelors,40,0,0,13,77143, 30,Private,Own-child,Black,Male,<=50K
114, 114,United-States,Prof-specialty,Married-civ-spouse,Bachelors,50,0,0,13,267989, 29,State-gov,Husband,White,Male,>50K
115, 115,United-States,Other-service,Never-married,Some-college,35,0,0,10,301606, 19,Private,Own-child,Black,Male,<=50K
116, 116,United-States,Exec-managerial,Married-civ-spouse,Bachelors,40,0,0,13,287828, 47,Private,Wife,White,Female,>50K
117, 117,United-States,Adm-clerical,Never-married,Some-college,28,1719,0,10,111697, 20,Private,Own-child,White,Female,<=50K
118, 118,United-States,Adm-clerical,Married-civ-spouse,Assoc-acdm,40,0,0,12,114937, 31,Private,Husband,White,Male,>50K
119, 119,United-States,Craft-repair,Divorced,Some-college,40,0,0,10,365739, 39,Private,Not-in-family,White,Male,<=50K
120, 120,United-States,Sales,Never-married,Assoc-acdm,60,0,0,12,69621, 28,Private,Not-in-family,White,Female,<=50K
121, 121,United-States,Other-service,Never-married,HS-grad,40,1762,0,9,43323, 24,Private,Not-in-family,White,Female,<=50K
122, 122,United-States,Craft-repair,Married-civ-spouse,HS-grad,35,0,4386,9,120985, 38,Self-emp-not-inc,Husband,White,Male,<=50K
123, 123,United-States,Sales,Married-civ-spouse,Bachelors,50,0,0,13,254202, 37,Private,Husband,White,Male,<=50K
124, 124,United-States,Tech-support,Divorced,Assoc-acdm,36,0,0,12,146195, 46,Private,Not-in-family,Black,Female,<=50K
125, 125,Iran,Prof-specialty,Married-civ-spouse,Masters,40,0,0,14,125933, 38,Federal-gov,Husband,White,Male,>50K
126, 126,United-States,Craft-repair,Married-civ-spouse,HS-grad,60,0,0,9,56920, 43,Self-emp-not-inc,Husband,White,Male,<=50K
127, 127,United-States,Adm-clerical,Married-civ-spouse,Assoc-voc,35,0,0,11,163127, 27,Private,Wife,White,Female,<=50K
128, 128,United-States,Sales,Never-married,Some-college,20,0,0,10,34310, 20,Private,Own-child,White,Male,<=50K
129, 129,United-States,Craft-repair,Married-civ-spouse,Some-college,40,0,0,10,81973, 49,Private,Husband,Asian-Pac-Islander,Male,>50K
130, 130,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,66614, 61,Self-emp-inc,Husband,White,Male,<=50K
131, 131,United-States,Sales,Never-married,Some-college,40,0,0,10,232782, 27,Private,Own-child,White,Female,<=50K
132, 132,Mexico,Other-service,Never-married,Some-college,30,0,0,10,316868, 19,Private,Own-child,White,Male,<=50K
133, 133,United-States,Prof-specialty,Never-married,Assoc-voc,40,1564,0,11,196584, 45,Private,Not-in-family,White,Female,>50K
134, 134,United-States,Tech-support,Never-married,Some-college,40,0,0,10,105376, 70,Private,Other-relative,White,Male,<=50K
135, 135,United-States,Transport-moving,Never-married,HS-grad,30,0,0,9,185814, 31,Private,Unmarried,Black,Female,<=50K
136, 136,United-States,Other-service,Married-civ-spouse,Some-college,24,0,0,10,175374, 22,Private,Husband,White,Male,<=50K
137, 137,United-States,Other-service,Widowed,HS-grad,24,0,0,9,108293, 36,Private,Unmarried,White,Female,<=50K
138, 138,United-States,Craft-repair,Married-civ-spouse,11th,40,2179,0,7,181232, 64,Private,Husband,White,Male,<=50K
139, 139,Mexico,Adm-clerical,Divorced,Some-college,38,0,0,10,186009, 47,Local-gov,Unmarried,White,Female,<=50K
140, 140,United-States,Adm-clerical,Never-married,HS-grad,40,0,0,9,198183, 34,Private,Not-in-family,White,Female,<=50K
141, 141,Philippines,Exec-managerial,Never-married,Bachelors,40,0,0,13,163003, 33,Private,Other-relative,Asian-Pac-Islander,Female,<=50K
142, 142,United-States,Craft-repair,Never-married,HS-grad,35,0,0,9,296158, 21,Private,Own-child,White,Male,<=50K
143, 143,United-States,Craft-repair,Married-civ-spouse,HS-grad,46,0,0,9,187715, 48,Private,Husband,White,Male,<=50K
144, 144,United-States,Handlers-cleaners,Never-married,Bachelors,40,0,0,13,214542, 23,Private,Not-in-family,White,Male,<=50K
145, 145,United-States,Sales,Separated,Some-college,2,1816,0,10,494223, 71,Self-emp-not-inc,Unmarried,Black,Male,<=50K
146, 146,United-States,Craft-repair,Divorced,HS-grad,60,0,0,9,191535, 29,Private,Not-in-family,White,Male,<=50K
147, 147,United-States,Other-service,Separated,Bachelors,50,0,0,13,228456, 42,Private,Other-relative,Black,Male,<=50K
148, 148,United-States,Other-service,Never-married,HS-grad,40,0,0,9,252752, 25,Private,Unmarried,White,Female,<=50K
149, 149,United-States,Exec-managerial,Divorced,Masters,40,0,0,14,78374, 44,Self-emp-inc,Unmarried,Asian-Pac-Islander,Female,<=50K
150, 150,England,Exec-managerial,Never-married,HS-grad,40,0,0,9,88419, 28,Private,Not-in-family,Asian-Pac-Islander,Female,<=50K
151, 151,United-States,Sales,Married-civ-spouse,Masters,40,0,0,14,201080, 45,Self-emp-not-inc,Husband,White,Male,>50K
152, 152,Mexico,Other-service,Divorced,Some-college,40,0,0,10,207157, 36,Private,Unmarried,White,Female,<=50K
153, 153,United-States,Exec-managerial,Never-married,Assoc-acdm,42,0,0,12,235485, 39,Federal-gov,Not-in-family,White,Male,<=50K
154, 154,United-States,Protective-serv,Widowed,Masters,40,0,0,14,102628, 46,State-gov,Unmarried,White,Male,<=50K
155, 155,United-States,Handlers-cleaners,Never-married,11th,16,0,0,7,25828, 18,Private,Own-child,White,Male,<=50K
156, 156,United-States,Prof-specialty,Widowed,Assoc-voc,20,0,0,11,54826, 66,Local-gov,Not-in-family,White,Female,<=50K
157, 157,United-States,Other-service,Never-married,HS-grad,40,1980,0,9,124953, 27,Private,Not-in-family,White,Male,<=50K
158, 158,United-States,Protective-serv,Married-civ-spouse,HS-grad,40,0,0,9,175325, 28,State-gov,Husband,White,Male,<=50K
159, 159,United-States,Sales,Married-civ-spouse,Some-college,40,1977,0,10,96062, 51,Private,Husband,White,Male,>50K
160, 160,United-States,Craft-repair,Never-married,Bachelors,50,0,0,13,428030, 27,Private,Not-in-family,White,Male,<=50K
161, 161,United-States,Prof-specialty,Married-civ-spouse,Bachelors,40,0,0,13,149624, 28,State-gov,Husband,White,Male,>50K
162, 162,United-States,Sales,Married-spouse-absent,HS-grad,25,0,0,9,253814, 27,Private,Unmarried,White,Female,<=50K
163, 163,United-States,Craft-repair,Never-married,HS-grad,40,0,0,9,312956, 21,Private,Own-child,Black,Male,<=50K
164, 164,United-States,Handlers-cleaners,Never-married,HS-grad,40,0,0,9,483777, 34,Private,Not-in-family,Black,Male,<=50K
165, 165,United-States,Other-service,Never-married,HS-grad,12,0,0,9,183930, 18,Private,Own-child,White,Male,<=50K
166, 166,United-States,Prof-specialty,Married-civ-spouse,Bachelors,65,0,0,13,37274, 33,Private,Husband,White,Male,<=50K
167, 167,United-States,Exec-managerial,Married-civ-spouse,Some-college,38,0,0,10,181344, 44,Local-gov,Husband,Black,Male,>50K
168, 168,United-States,Adm-clerical,Divorced,Some-college,40,0,0,10,114580, 43,Private,Not-in-family,White,Female,<=50K
169, 169,United-States,Craft-repair,Never-married,Some-college,45,0,0,10,633742, 30,Private,Not-in-family,Black,Male,<=50K
170, 170,Mexico,Machine-op-inspct,Married-civ-spouse,7th-8th,40,0,0,4,286370, 40,Private,Husband,White,Male,>50K
171, 171,United-States,Adm-clerical,Married-civ-spouse,Some-college,42,0,0,10,29054, 37,Federal-gov,Husband,White,Male,>50K
172, 172,United-States,Adm-clerical,Married-civ-spouse,HS-grad,40,0,0,9,304030, 34,Private,Husband,Black,Male,<=50K
173, 173,United-States,Exec-managerial,Divorced,Bachelors,40,0,0,13,143129, 41,Self-emp-not-inc,Not-in-family,White,Female,<=50K
174, 174,United-States,Prof-specialty,Married-civ-spouse,Masters,50,0,0,14,99928, 31,Private,Wife,White,Female,<=50K
175, 175,United-States,Prof-specialty,Married-civ-spouse,Doctorate,1,0,0,16,109567, 58,State-gov,Husband,White,Male,>50K
176, 176,United-States,Machine-op-inspct,Divorced,Some-college,28,0,0,10,155222, 38,Private,Not-in-family,Black,Female,<=50K
177, 177,United-States,Machine-op-inspct,Married-civ-spouse,Some-college,40,0,0,10,159567, 24,Private,Husband,White,Male,<=50K
178, 178,United-States,Craft-repair,Married-civ-spouse,Bachelors,40,0,0,13,523910, 41,Local-gov,Husband,Black,Male,<=50K
179, 179,United-States,Tech-support,Married-civ-spouse,Some-college,45,0,0,10,120939, 47,Private,Husband,White,Male,<=50K
180, 180,United-States,Tech-support,Married-civ-spouse,Bachelors,24,0,0,13,130760, 41,Federal-gov,Husband,White,Male,<=50K
181, 181,Mexico,Transport-moving,Married-civ-spouse,5th-6th,40,0,0,3,197387, 23,Private,Other-relative,White,Male,<=50K
182, 182,United-States,Craft-repair,Divorced,Some-college,40,0,0,10,99374, 36,Private,Not-in-family,White,Male,<=50K
183, 183,United-States,Exec-managerial,Never-married,Masters,55,0,14084,14,56795, 40,Federal-gov,Not-in-family,White,Female,>50K
184, 184,United-States,Prof-specialty,Married-civ-spouse,Masters,40,0,7298,14,138992, 35,Private,Other-relative,White,Male,>50K
185, 185,United-States,Sales,Never-married,HS-grad,40,0,0,9,32921, 24,Self-emp-not-inc,Not-in-family,White,Male,<=50K
186, 186,United-States,Prof-specialty,Never-married,Masters,40,1876,0,14,397317, 26,Private,Not-in-family,White,Female,<=50K
187, 187,United-States,Exec-managerial,Married-civ-spouse,Bachelors,50,0,0,13,259323, 51,Private,Husband,White,Male,>50K
188, 188,United-States,Prof-specialty,Never-married,Some-college,40,1340,0,10,254817, 42,Local-gov,Not-in-family,White,Female,<=50K
189, 189,United-States,Adm-clerical,Divorced,HS-grad,35,0,0,9,48211, 37,State-gov,Unmarried,White,Female,<=50K
190, 190,United-States,Sales,Never-married,11th,40,0,0,7,140164, 18,Private,Own-child,White,Female,<=50K
191, 191,United-States,Other-service,Married-civ-spouse,Bachelors,36,0,7298,13,128757, 36,Private,Husband,Black,Male,>50K
192, 192,United-States,Craft-repair,Divorced,HS-grad,60,0,0,9,36270, 35,Private,Not-in-family,White,Male,<=50K
193, 193,United-States,Sales,Married-civ-spouse,HS-grad,35,0,15024,9,210563, 58,Self-emp-inc,Wife,White,Female,>50K
194, 194,United-States,Sales,Never-married,11th,12,0,0,7,65368, 17,Private,Own-child,White,Female,<=50K
195, 195,United-States,Transport-moving,Married-civ-spouse,HS-grad,40,0,0,9,160943, 44,Local-gov,Husband,Black,Male,<=50K
196, 196,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,208358, 37,Private,Husband,White,Male,>50K
197, 197,United-States,Sales,Never-married,Some-college,40,0,0,10,153790, 35,Private,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
198, 198,United-States,Craft-repair,Married-civ-spouse,HS-grad,40,0,0,9,85815, 60,Private,Husband,Asian-Pac-Islander,Male,<=50K
199, 199,United-States,Machine-op-inspct,Married-civ-spouse,7th-8th,40,0,0,4,125417, 54,Self-emp-inc,Husband,White,Male,>50K
200, 200,United-States,Exec-managerial,Never-married,Bachelors,60,0,0,13,635913, 37,Private,Not-in-family,Black,Male,>50K
201, 201,United-States,Sales,Divorced,Assoc-acdm,40,0,0,12,313321, 50,Private,Not-in-family,White,Female,<=50K
202, 202,Poland,Sales,Married-civ-spouse,Bachelors,50,0,0,13,182609, 38,Private,Husband,White,Male,<=50K
203, 203,United-States,Prof-specialty,Married-civ-spouse,Bachelors,55,0,0,13,109434, 45,Private,Husband,White,Male,<=50K
204, 204,United-States,Craft-repair,Never-married,10th,40,0,0,6,255004, 25,Private,Not-in-family,White,Male,<=50K
205, 205,United-States,Handlers-cleaners,Married-civ-spouse,Some-college,40,0,0,10,197860, 31,Private,Husband,White,Male,<=50K
206, 206,United-States,Other-service,Never-married,HS-grad,40,2206,0,9,51744, 90,Private,Not-in-family,Black,Male,<=50K
207, 207,United-States,Adm-clerical,Married-civ-spouse,HS-grad,20,0,0,9,176681, 54,Private,Husband,Black,Male,<=50K
208, 208,United-States,Machine-op-inspct,Never-married,Preschool,35,0,0,1,140359, 53,Local-gov,Not-in-family,White,Female,<=50K
209, 209,United-States,Sales,Never-married,HS-grad,40,0,0,9,243313, 18,Private,Own-child,White,Female,<=50K
210, 210,United-States,Farming-fishing,Married-civ-spouse,HS-grad,50,0,1409,9,167687, 66,Self-emp-not-inc,Husband,White,Male,<=50K
211, 211,Columbia,Adm-clerical,Widowed,Assoc-voc,20,0,0,11,314209, 75,Private,Not-in-family,White,Female,<=50K
212, 212,United-States,Adm-clerical,Divorced,HS-grad,40,0,0,9,176796, 65,Private,Not-in-family,White,Female,<=50K
213, 213,United-States,Transport-moving,Separated,11th,40,0,3674,7,538583, 35,Private,Not-in-family,Black,Male,<=50K
214, 214,United-States,Sales,Divorced,HS-grad,38,0,0,9,130408, 41,Private,Unmarried,Black,Female,<=50K
215, 215,United-States,Adm-clerical,Never-married,Some-college,42,0,0,10,159732, 25,Private,Not-in-family,White,Male,<=50K
216, 216,United-States,Craft-repair,Divorced,Some-college,40,0,0,10,110978, 33,Private,Other-relative,Other,Female,<=50K
217, 217,United-States,Prof-specialty,Never-married,Prof-school,55,0,0,15,76714, 28,Private,Not-in-family,White,Male,>50K
218, 218,United-States,Other-service,Married-civ-spouse,HS-grad,40,0,0,9,268700, 59,State-gov,Husband,White,Male,<=50K
