pid, time, age, fnlwgt, education-num, capital-gain, capital-loss, hours-per-week, education, marital-status, occupation, native-country, workclass, relationship, race, sex, income
82, 82, 43,410867,16,0,0,50,Doctorate,Never-married,Prof-specialty,United-States,Federal-gov,Not-in-family,White,Female,>50K
83, 83, 57,249977,11,0,0,40,Assoc-voc,Married-civ-spouse,Prof-specialty,United-States,Private,Husband,White,Male,<=50K
84, 84, 37,286730,10,0,0,40,Some-college,Divorced,Craft-repair,United-States,Private,Unmarried,White,Female,<=50K
85, 85, 28,212563,10,0,0,25,Some-college,Divorced,Machine-op-inspct,United-States,Private,Unmarried,Black,Female,<=50K
86, 86, 34,226296,13,0,0,40,Bachelors,Married-civ-spouse,Protective-serv,United-States,Local-gov,Husband,White,Male,>50K
87, 87, 29,115585,10,0,0,50,Some-college,Never-married,Handlers-cleaners,United-States,Local-gov,Not-in-family,White,Male,<=50K
88, 88, 48,191277,16,0,1902,60,Doctorate,Married-civ-spouse,Prof-specialty,United-States,Self-emp-not-inc,Husband,White,Male,>50K
89, 89, 37,202683,10,0,0,48,Some-college,Married-civ-spouse,Sales,United-States,Private,Husband,White,Male,>50K
90, 90, 48,171095,12,0,0,40,Assoc-acdm,Divorced,Exec-managerial,England,Private,Unmarried,White,Female,<=50K
91, 91, 32,249409,9,0,0,40,HS-grad,Never-married,Other-service,United-States,Federal-gov,Own-child,Black,Male,<=50K
92, 92, 76,124191,14,0,0,40,Masters,Married-civ-spouse,Exec-managerial,United-States,Private,Husband,White,Male,>50K
93, 93, 44,198282,13,15024,0,60,Bachelors,Married-civ-spouse,Exec-managerial,United-States,Private,Husband,White,Male,>50K
94, 94, 47,149116,14,0,0,50,Masters,Never-married,Prof-specialty,United-States,Self-emp-not-inc,Not-in-family,White,Female,<=50K
95, 95, 20,188300,10,0,0,40,Some-college,Never-married,Tech-support,United-States,Private,Own-child,White,Female,<=50K
96, 96, 29,103432,9,0,0,40,HS-grad,Never-married,Craft-repair,United-States,Private,Not-in-family,White,Male,<=50K
97, 97, 32,317660,9,7688,0,40,HS-grad,Married-civ-spouse,Craft-repair,United-States,Self-emp-inc,Husband,White,Male,>50K
98, 98, 30,194901,7,0,0,40,11th,Never-married,Handlers-cleaners,United-States,Private,Own-child,White,Male,<=50K
99, 99, 31,189265,9,0,0,40,HS-grad,Never-married,Adm-clerical,United-States,Local-gov,Not-in-family,White,Female,<=50K
100, 100, 42,124692,9,0,0,40,HS-grad,Married-civ-spouse,Handlers-cleaners,United-States,Private,Husband,White,Male,<=50K
101, 101, 24,432376,13,0,0,40,Bachelors,Never-married,Sales,United-States,Private,Other-relative,White,Male,<=50K
102, 102, 38,65324,15,0,0,40,Prof-school,Married-civ-spouse,Prof-specialty,United-States,Private,Husband,White,Male,>50K
103, 103, 56,335605,9,0,1887,50,HS-grad,Married-civ-spouse,Other-service,Canada,Self-emp-not-inc,Husband,White,Male,>50K
104, 104, 28,377869,10,4064,0,25,Some-college,Married-civ-spouse,Sales,United-States,Private,Wife,White,Female,<=50K
105, 105, 36,102864,9,0,0,40,HS-grad,Never-married,Machine-op-inspct,United-States,Private,Own-child,White,Female,<=50K
106, 106, 53,95647,5,0,0,50,9th,Married-civ-spouse,Handlers-cleaners,United-States,Private,Husband,White,Male,<=50K
107, 107, 56,303090,10,0,0,50,Some-college,Married-civ-spouse,Sales,United-States,Self-emp-inc,Husband,White,Male,<=50K
108, 108, 49,197371,11,0,0,40,Assoc-voc,Married-civ-spouse,Craft-repair,United-States,Local-gov,Husband,Black,Male,>50K
109, 109, 55,247552,10,0,0,56,Some-college,Married-civ-spouse,Sales,United-States,Private,Husband,White,Male,<=50K
110, 110, 22,102632,9,0,0,41,HS-grad,Never-married,Craft-repair,United-States,Private,Not-in-family,White,Male,<=50K
111, 111, 21,199915,10,0,0,40,Some-college,Never-married,Other-service,United-States,Private,Own-child,White,Female,<=50K
112, 112, 40,118853,13,0,0,60,Bachelors,Married-civ-spouse,Exec-managerial,United-States,Private,Husband,White,Male,<=50K
113, 113, 30,77143,13,0,0,40,Bachelors,Never-married,Exec-managerial,Germany,Private,Own-child,Black,Male,<=50K
114, 114, 29,267989,13,0,0,50,Bachelors,Married-civ-spouse,Prof-specialty,United-States,State-gov,Husband,White,Male,>50K
115, 115, 19,301606,10,0,0,35,Some-college,Never-married,Other-service,United-States,Private,Own-child,Black,Male,<=50K
116, 116, 47,287828,13,0,0,40,Bachelors,Married-civ-spouse,Exec-managerial,United-States,Private,Wife,White,Female,>50K
117, 117, 20,111697,10,0,1719,28,Some-college,Never-married,Adm-clerical,United-States,Private,Own-child,White,Female,<=50K
118, 118, 31,114937,12,0,0,40,Assoc-acdm,Married-civ-spouse,Adm-clerical,United-States,Private,Husband,White,Male,>50K
119, 119, 39,365739,10,0,0,40,Some-college,Divorced,Craft-repair,United-States,Private,Not-in-family,White,Male,<=50K
120, 120, 28,69621,12,0,0,60,Assoc-acdm,Never-married,Sales,United-States,Private,Not-in-family,White,Female,<=50K
121, 121, 24,43323,9,0,1762,40,HS-grad,Never-married,Other-service,United-States,Private,Not-in-family,White,Female,<=50K
122, 122, 38,120985,9,4386,0,35,HS-grad,Married-civ-spouse,Craft-repair,United-States,Self-emp-not-inc,Husband,White,Male,<=50K
123, 123, 37,254202,13,0,0,50,Bachelors,Married-civ-spouse,Sales,United-States,Private,Husband,White,Male,<=50K
124, 124, 46,146195,12,0,0,36,Assoc-acdm,Divorced,Tech-support,United-States,Private,Not-in-family,Black,Female,<=50K
125, 125, 38,125933,14,0,0,40,Masters,Married-civ-spouse,Prof-specialty,Iran,Federal-gov,Husband,White,Male,>50K
126, 126, 43,56920,9,0,0,60,HS-grad,Married-civ-spouse,Craft-repair,United-States,Self-emp-not-inc,Husband,White,Male,<=50K
127, 127, 27,163127,11,0,0,35,Assoc-voc,Married-civ-spouse,Adm-clerical,United-States,Private,Wife,White,Female,<=50K
128, 128, 20,34310,10,0,0,20,Some-college,Never-married,Sales,United-States,Private,Own-child,White,Male,<=50K
129, 129, 49,81973,10,0,0,40,Some-college,Married-civ-spouse,Craft-repair,United-States,Private,Husband,Asian-Pac-Islander,Male,>50K
130, 130, 61,66614,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,United-States,Self-emp-inc,Husband,White,Male,<=50K
131, 131, 27,232782,10,0,0,40,Some-college,Never-married,Sales,United-States,Private,Own-child,White,Female,<=50K
132, 132, 19,316868,10,0,0,30,Some-college,Never-married,Other-service,Mexico,Private,Own-child,White,Male,<=50K
133, 133, 45,196584,11,0,1564,40,Assoc-voc,Never-married,Prof-specialty,United-States,Private,Not-in-family,White,Female,>50K
134, 134, 70,105376,10,0,0,40,Some-college,Never-married,Tech-support,United-States,Private,Other-relative,White,Male,<=50K
135, 135, 31,185814,9,0,0,30,HS-grad,Never-married,Transport-moving,United-States,Private,Unmarried,Black,Female,<=50K
136, 136, 22,175374,10,0,0,24,Some-college,Married-civ-spouse,Other-service,United-States,Private,Husband,White,Male,<=50K
137, 137, 36,108293,9,0,0,24,HS-grad,Widowed,Other-service,United-States,Private,Unmarried,White,Female,<=50K
138, 138, 64,181232,7,0,2179,40,11th,Married-civ-spouse,Craft-repair,United-States,Private,Husband,White,Male,<=50K
139, 139, 47,186009,10,0,0,38,Some-college,Divorced,Adm-clerical,Mexico,Local-gov,Unmarried,White,Female,<=50K
140, 140, 34,198183,9,0,0,40,HS-grad,Never-married,Adm-clerical,United-States,Private,Not-in-family,White,Female,<=50K
141, 141, 33,163003,13,0,0,40,Bachelors,Never-married,Exec-managerial,Philippines,Private,Other-relative,Asian-Pac-Islander,Female,<=50K
142, 142, 21,296158,9,0,0,35,HS-grad,Never-married,Craft-repair,United-States,Private,Own-child,White,Male,<=50K
143, 143, 48,187715,9,0,0,46,HS-grad,Married-civ-spouse,Craft-repair,United-States,Private,Husband,White,Male,<=50K
144, 144, 23,214542,13,0,0,40,Bachelors,Never-married,Handlers-cleaners,United-States,Private,Not-in-family,White,Male,<=50K
145, 145, 71,494223,10,0,1816,2,Some-college,Separated,Sales,United-States,Self-emp-not-inc,Unmarried,Black,Male,<=50K
146, 146, 29,191535,9,0,0,60,HS-grad,Divorced,Craft-repair,United-States,Private,Not-in-family,White,Male,<=50K
147, 147, 42,228456,13,0,0,50,Bachelors,Separated,Other-service,United-States,Private,Other-relative,Black,Male,<=50K
148, 148, 25,252752,9,0,0,40,HS-grad,Never-married,Other-service,United-States,Private,Unmarried,White,Female,<=50K
149, 149, 44,78374,14,0,0,40,Masters,Divorced,Exec-managerial,United-States,Self-emp-inc,Unmarried,Asian-Pac-Islander,Female,<=50K
150, 150, 28,88419,9,0,0,40,HS-grad,Never-married,Exec-managerial,England,Private,Not-in-family,Asian-Pac-Islander,Female,<=50K
151, 151, 45,201080,14,0,0,40,Masters,Married-civ-spouse,Sales,United-States,Self-emp-not-inc,Husband,White,Male,>50K
152, 152, 36,207157,10,0,0,40,Some-college,Divorced,Other-service,Mexico,Private,Unmarried,White,Female,<=50K
153, 153, 39,235485,12,0,0,42,Assoc-acdm,Never-married,Exec-managerial,United-States,Federal-gov,Not-in-family,White,Male,<=50K
154, 154, 46,102628,14,0,0,40,Masters,Widowed,Protective-serv,United-States,State-gov,Unmarried,White,Male,<=50K
155, 155, 18,25828,7,0,0,16,11th,Never-married,Handlers-cleaners,United-States,Private,Own-child,White,Male,<=50K
156, 156, 66,54826,11,0,0,20,Assoc-voc,Widowed,Prof-specialty,United-States,Local-gov,Not-in-family,White,Female,<=50K
157, 157, 27,124953,9,0,1980,40,HS-grad,Never-married,Other-service,United-States,Private,Not-in-family,White,Male,<=50K
158, 158, 28,175325,9,0,0,40,HS-grad,Married-civ-spouse,Protective-serv,United-States,State-gov,Husband,White,Male,<=50K
159, 159, 51,96062,10,0,1977,40,Some-college,Married-civ-spouse,Sales,United-States,Private,Husband,White,Male,>50K
160, 160, 27,428030,13,0,0,50,Bachelors,Never-married,Craft-repair,United-States,Private,Not-in-family,White,Male,<=50K
161, 161, 28,149624,13,0,0,40,Bachelors,Married-civ-spouse,Prof-specialty,United-States,State-gov,Husband,White,Male,>50K
162, 162, 27,253814,9,0,0,25,HS-grad,Married-spouse-absent,Sales,United-States,Private,Unmarried,White,Female,<=50K
163, 163, 21,312956,9,0,0,40,HS-grad,Never-married,Craft-repair,United-States,Private,Own-child,Black,Male,<=50K
164, 164, 34,483777,9,0,0,40,HS-grad,Never-married,Handlers-cleaners,United-States,Private,Not-in-family,Black,Male,<=50K
165, 165, 18,183930,9,0,0,12,HS-grad,Never-married,Other-service,United-States,Private,Own-child,White,Male,<=50K
166, 166, 33,37274,13,0,0,65,Bachelors,Married-civ-spouse,Prof-specialty,United-States,Private,Husband,White,Male,<=50K
167, 167, 44,181344,10,0,0,38,Some-college,Married-civ-spouse,Exec-managerial,United-States,Local-gov,Husband,Black,Male,>50K
168, 168, 43,114580,10,0,0,40,Some-college,Divorced,Adm-clerical,United-States,Private,Not-in-family,White,Female,<=50K
169, 169, 30,633742,10,0,0,45,Some-college,Never-married,Craft-repair,United-States,Private,Not-in-family,Black,Male,<=50K
170, 170, 40,286370,4,0,0,40,7th-8th,Married-civ-spouse,Machine-op-inspct,Mexico,Private,Husband,White,Male,>50K
171, 171, 37,29054,10,0,0,42,Some-college,Married-civ-spouse,Adm-clerical,United-States,Federal-gov,Husband,White,Male,>50K
172, 172, 34,304030,9,0,0,40,HS-grad,Married-civ-spouse,Adm-clerical,United-States,Private,Husband,Black,Male,<=50K
173, 173, 41,143129,13,0,0,40,Bachelors,Divorced,Exec-managerial,United-States,Self-emp-not-inc,Not-in-family,White,Female,<=50K
174, 174, 31,99928,14,0,0,50,Masters,Married-civ-spouse,Prof-specialty,United-States,Private,Wife,White,Female,<=50K
175, 175, 58,109567,16,0,0,1,Doctorate,Married-civ-spouse,Prof-specialty,United-States,State-gov,Husband,White,Male,>50K
176, 176, 38,155222,10,0,0,28,Some-college,Divorced,Machine-op-inspct,United-States,Private,Not-in-family,Black,Female,<=50K
177, 177, 24,159567,10,0,0,40,Some-college,Married-civ-spouse,Machine-op-inspct,United-States,Private,Husband,White,Male,<=50K
178, 178, 41,523910,13,0,0,40,Bachelors,Married-civ-spouse,Craft-repair,United-States,Local-gov,Husband,Black,Male,<=50K
179, 179, 47,120939,10,0,0,45,Some-college,Married-civ-spouse,Tech-support,United-States,Private,Husband,White,Male,<=50K
180, 180, 41,130760,13,0,0,24,Bachelors,Married-civ-spouse,Tech-support,United-States,Federal-gov,Husband,White,Male,<=50K
181, 181, 23,197387,3,0,0,40,5th-6th,Married-civ-spouse,Transport-moving,Mexico,Private,Other-relative,White,Male,<=50K
182, 182, 36,99374,10,0,0,40,Some-college,Divorced,Craft-repair,United-States,Private,Not-in-family,White,Male,<=50K
183, 183, 40,56795,14,14084,0,55,Masters,Never-married,Exec-managerial,United-States,Federal-gov,Not-in-family,White,Female,>50K
184, 184, 35,138992,14,7298,0,40,Masters,Married-civ-spouse,Prof-specialty,United-States,Private,Other-relative,White,Male,>50K
185, 185, 24,32921,9,0,0,40,HS-grad,Never-married,Sales,United-States,Self-emp-not-inc,Not-in-family,White,Male,<=50K
186, 186, 26,397317,14,0,1876,40,Masters,Never-married,Prof-specialty,United-States,Private,Not-in-family,White,Female,<=50K
187, 187, 51,259323,13,0,0,50,Bachelors,Married-civ-spouse,Exec-managerial,United-States,Private,Husband,White,Male,>50K
188, 188, 42,254817,10,0,1340,40,Some-college,Never-married,Prof-specialty,United-States,Local-gov,Not-in-family,White,Female,<=50K
189, 189, 37,48211,9,0,0,35,HS-grad,Divorced,Adm-clerical,United-States,State-gov,Unmarried,White,Female,<=50K
190, 190, 18,140164,7,0,0,40,11th,Never-married,Sales,United-States,Private,Own-child,White,Female,<=50K
191, 191, 36,128757,13,7298,0,36,Bachelors,Married-civ-spouse,Other-service,United-States,Private,Husband,Black,Male,>50K
192, 192, 35,36270,9,0,0,60,HS-grad,Divorced,Craft-repair,United-States,Private,Not-in-family,White,Male,<=50K
193, 193, 58,210563,9,15024,0,35,HS-grad,Married-civ-spouse,Sales,United-States,Self-emp-inc,Wife,White,Female,>50K
194, 194, 17,65368,7,0,0,12,11th,Never-married,Sales,United-States,Private,Own-child,White,Female,<=50K
195, 195, 44,160943,9,0,0,40,HS-grad,Married-civ-spouse,Transport-moving,United-States,Local-gov,Husband,Black,Male,<=50K
196, 196, 37,208358,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,United-States,Private,Husband,White,Male,>50K
197, 197, 35,153790,10,0,0,40,Some-college,Never-married,Sales,United-States,Private,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
198, 198, 60,85815,9,0,0,40,HS-grad,Married-civ-spouse,Craft-repair,United-States,Private,Husband,Asian-Pac-Islander,Male,<=50K
199, 199, 54,125417,4,0,0,40,7th-8th,Married-civ-spouse,Machine-op-inspct,United-States,Self-emp-inc,Husband,White,Male,>50K
200, 200, 37,635913,13,0,0,60,Bachelors,Never-married,Exec-managerial,United-States,Private,Not-in-family,Black,Male,>50K
201, 201, 50,313321,12,0,0,40,Assoc-acdm,Divorced,Sales,United-States,Private,Not-in-family,White,Female,<=50K
202, 202, 38,182609,13,0,0,50,Bachelors,Married-civ-spouse,Sales,Poland,Private,Husband,White,Male,<=50K
203, 203, 45,109434,13,0,0,55,Bachelors,Married-civ-spouse,Prof-specialty,United-States,Private,Husband,White,Male,<=50K
204, 204, 25,255004,6,0,0,40,10th,Never-married,Craft-repair,United-States,Private,Not-in-family,White,Male,<=50K
205, 205, 31,197860,10,0,0,40,Some-college,Married-civ-spouse,Handlers-cleaners,United-States,Private,Husband,White,Male,<=50K
206, 206, 90,51744,9,0,2206,40,HS-grad,Never-married,Other-service,United-States,Private,Not-in-family,Black,Male,<=50K
207, 207, 54,176681,9,0,0,20,HS-grad,Married-civ-spouse,Adm-clerical,United-States,Private,Husband,Black,Male,<=50K
208, 208, 53,140359,1,0,0,35,Preschool,Never-married,Machine-op-inspct,United-States,Local-gov,Not-in-family,White,Female,<=50K
209, 209, 18,243313,9,0,0,40,HS-grad,Never-married,Sales,United-States,Private,Own-child,White,Female,<=50K
210, 210, 66,167687,9,1409,0,50,HS-grad,Married-civ-spouse,Farming-fishing,United-States,Self-emp-not-inc,Husband,White,Male,<=50K
211, 211, 75,314209,11,0,0,20,Assoc-voc,Widowed,Adm-clerical,Columbia,Private,Not-in-family,White,Female,<=50K
212, 212, 65,176796,9,0,0,40,HS-grad,Divorced,Adm-clerical,United-States,Private,Not-in-family,White,Female,<=50K
213, 213, 35,538583,7,3674,0,40,11th,Separated,Transport-moving,United-States,Private,Not-in-family,Black,Male,<=50K
214, 214, 41,130408,9,0,0,38,HS-grad,Divorced,Sales,United-States,Private,Unmarried,Black,Female,<=50K
215, 215, 25,159732,10,0,0,42,Some-college,Never-married,Adm-clerical,United-States,Private,Not-in-family,White,Male,<=50K
216, 216, 33,110978,10,0,0,40,Some-college,Divorced,Craft-repair,United-States,Private,Other-relative,Other,Female,<=50K
217, 217, 28,76714,15,0,0,55,Prof-school,Never-married,Prof-specialty,United-States,Private,Not-in-family,White,Male,>50K
218, 218, 59,268700,9,0,0,40,HS-grad,Married-civ-spouse,Other-service,United-States,State-gov,Husband,White,Male,<=50K
